cf_id,contact_id,company_name,description,goal,pledged,outcome,backers_count,country,currency,launched_date,end_date,category_id,subcategory_id
1825,1663,Gray-Jenkins,Devolved next generation adapter,4500.0,14942.0,successful,142,GB,GBP,2021-07-23,2021-09-12,cat5,subcat5
1019,3605,"Scott, Wilson and Martin",Cross-platform intermediate frame,92400.0,104257.0,successful,2673,US,USD,2021-05-01,2021-10-01,cat3,subcat9
821,4678,"Caldwell, Velazquez and Wilson",Monitored impactful analyzer,5500.0,11904.0,successful,163,US,USD,2020-10-09,2021-05-23,cat7,subcat12
2653,2251,Spencer-Bates,Optional responsive customer loyalty,107500.0,51814.0,canceled,1480,US,USD,2020-11-20,2021-07-27,cat4,subcat4
2502,6202,"Best, Carr and Williams",Diverse transitional migration,2000.0,1599.0,failed,15,US,USD,2021-01-08,2021-10-15,cat2,subcat2
325,3715,"Campbell, Brown and Powell",Synchronized global task-force,130800.0,137635.0,successful,2220,US,USD,2020-12-23,2021-12-23,cat4,subcat4
1345,4242,"Johnson, Parker and Haynes",Focused 6thgeneration forecast,45900.0,150965.0,successful,1606,CH,CHF,2020-11-06,2021-08-27,cat5,subcat13
2303,4326,Clark-Cooke,Down-sized analyzing challenge,9000.0,14455.0,successful,129,US,USD,2020-10-28,2021-02-15,cat5,subcat11
2224,5560,Schroeder Ltd,Progressive needs-based focus group,3500.0,10850.0,successful,226,GB,GBP,2020-11-25,2021-02-05,cat7,subcat12
1173,4002,Jackson PLC,Ergonomic 6thgeneration success,101000.0,87676.0,failed,2307,IT,EUR,2021-02-21,2021-11-26,cat5,subcat5
210,3813,"Blair, Collins and Carter",Exclusive interactive approach,50200.0,189666.0,successful,5419,US,USD,2021-04-04,2021-12-09,cat4,subcat4
1546,5336,Maldonado and Sons,Reverse-engineered asynchronous archive,9300.0,14025.0,successful,165,US,USD,2021-01-26,2021-12-10,cat5,subcat5
2871,4994,Mitchell and Sons,Synergized intangible challenge,125500.0,188628.0,successful,1965,DK,DKK,2021-03-16,2021-03-25,cat5,subcat7
2034,1471,Jackson-Lewis,Monitored multi-state encryption,700.0,1101.0,successful,16,US,USD,2021-04-07,2021-11-26,cat4,subcat4
2677,4482,"Black, Armstrong and Anderson",Profound attitude-oriented functionalities,8100.0,11339.0,successful,107,US,USD,2020-11-20,2021-10-18,cat6,subcat14
1865,3241,Maldonado-Gonzalez,Digitized client-driven database,3100.0,10085.0,successful,134,US,USD,2021-08-23,2022-01-10,cat8,subcat15
170,3477,Kim-Rice,Organized bi-directional function,9900.0,5027.0,failed,88,DK,DKK,2021-04-14,2021-05-01,cat4,subcat4
462,2265,"Garcia, Garcia and Lopez",Reduced stable middleware,8800.0,14878.0,successful,198,US,USD,2020-11-18,2021-03-18,cat3,subcat9
3122,5911,Watts Group,Universal 5thgeneration neural-net,5600.0,11924.0,successful,111,IT,EUR,2021-03-17,2021-07-08,cat2,subcat2
1175,2288,Werner-Bryant,Virtual uniform frame,1800.0,7991.0,successful,222,US,USD,2020-06-20,2021-01-30,cat1,subcat1
2301,4064,Schmitt-Mendoza,Profound explicit paradigm,90200.0,167717.0,successful,6212,US,USD,2020-11-14,2021-07-06,cat6,subcat16
91,1294,Reid-Mccullough,Visionary real-time groupware,1600.0,10541.0,successful,98,DK,DKK,2020-11-25,2021-03-01,cat6,subcat14
87,5008,Woods-Clark,Networked tertiary Graphical User Interface,9500.0,4530.0,failed,48,US,USD,2021-01-18,2021-03-20,cat4,subcat4
1482,3604,"Vaughn, Hunt and Caldwell",Virtual grid-enabled task-force,3700.0,4247.0,successful,92,US,USD,2021-05-23,2021-09-23,cat2,subcat2
1711,3263,Bennett and Sons,Function-based multi-state software,1500.0,7129.0,successful,149,US,USD,2020-12-18,2021-06-27,cat4,subcat4
2294,5631,Lamb Inc,Optimized leadingedge concept,33300.0,128862.0,successful,2431,US,USD,2021-02-22,2021-11-10,cat4,subcat4
2389,2851,Casey-Kelly,Sharable holistic interface,7200.0,13653.0,successful,303,US,USD,2021-01-25,2022-01-30,cat2,subcat2
378,3714,"Jones, Taylor and Moore",Down-sized system-worthy secured line,100.0,2.0,failed,1,IT,EUR,2021-10-08,2021-11-03,cat2,subcat17
1213,1664,"Bradshaw, Gill and Donovan",Inverse secondary infrastructure,158100.0,145243.0,failed,1467,GB,GBP,2020-09-07,2021-07-29,cat3,subcat9
29,5027,"Hernandez, Rodriguez and Clark",Organic foreground leverage,7200.0,2459.0,failed,75,US,USD,2021-03-12,2022-01-05,cat4,subcat4
2309,3070,Smith-Jones,Reverse-engineered static concept,8800.0,12356.0,successful,209,US,USD,2021-10-14,2021-12-24,cat5,subcat7
2101,4248,Roy PLC,Multi-channeled neutral customer loyalty,6000.0,5392.0,failed,120,US,USD,2021-03-30,2021-05-24,cat3,subcat9
1057,2034,"Wright, Brooks and Villarreal",Reverse-engineered bifurcated strategy,6600.0,11746.0,successful,131,US,USD,2021-09-29,2021-11-29,cat2,subcat18
2655,4085,"Flores, Miller and Johnson",Horizontal context-sensitive knowledge user,8000.0,11493.0,successful,164,US,USD,2021-03-03,2021-05-22,cat3,subcat9
202,3569,"Bridges, Freeman and Kim",Cross-group multi-state task-force,2900.0,6243.0,successful,201,US,USD,2021-07-23,2021-12-04,cat7,subcat12
2025,3889,Anderson-Perez,Expanded 3rdgeneration strategy,2700.0,6132.0,successful,211,US,USD,2021-02-09,2021-06-11,cat4,subcat4
2395,3136,"Wright, Fox and Marks",Assimilated real-time support,1400.0,3851.0,successful,128,US,USD,2020-12-10,2021-03-07,cat4,subcat4
1418,2103,Crawford-Peters,User-centric regional database,94200.0,135997.0,successful,1600,CA,CAD,2020-10-20,2021-08-24,cat4,subcat4
1905,2329,Romero-Hoffman,Open-source zero administration complexity,199200.0,184750.0,failed,2253,CA,CAD,2021-06-15,2021-10-26,cat4,subcat4
1969,3325,Sparks-West,Organized incremental standardization,2000.0,14452.0,successful,249,US,USD,2021-08-19,2021-11-21,cat3,subcat3
2430,3131,"Baker, Morgan and Brown",Assimilated didactic open system,4700.0,557.0,failed,5,US,USD,2021-06-25,2021-07-16,cat4,subcat4
1291,4995,Mosley-Gilbert,Vision-oriented logistical intranet,2800.0,2734.0,failed,38,US,USD,2021-05-21,2021-09-23,cat3,subcat3
1934,3631,Berry-Boyer,Mandatory incremental projection,6100.0,14405.0,successful,236,US,USD,2021-02-23,2021-11-20,cat4,subcat4
1225,5373,Sanders-Allen,Grass-roots needs-based encryption,2900.0,1307.0,failed,12,US,USD,2021-10-05,2021-11-06,cat4,subcat4
1363,3126,Lopez Inc,Team-oriented 6thgeneration middleware,72600.0,117892.0,successful,4065,GB,GBP,2020-11-03,2021-09-24,cat3,subcat9
963,2194,Moreno-Turner,Inverse multi-tasking installation,5700.0,14508.0,successful,246,IT,EUR,2020-08-10,2021-02-07,cat4,subcat4
1486,2906,Jones-Watson,Switchable disintermediate moderator,7900.0,1901.0,canceled,17,US,USD,2021-06-27,2022-01-17,cat4,subcat4
676,2611,Barker Inc,Re-engineered 24/7 task-force,128000.0,158389.0,successful,2475,IT,EUR,2021-08-08,2022-01-30,cat4,subcat4
2137,2374,"Tate, Bass and House",Organic object-oriented budgetary management,6000.0,6484.0,successful,76,US,USD,2021-03-19,2021-06-05,cat4,subcat4
2656,3254,"Hampton, Lewis and Ray",Seamless coherent parallelism,600.0,4022.0,successful,54,US,USD,2021-07-27,2021-11-30,cat5,subcat11
1556,3571,Collins-Goodman,Cross-platform even-keeled initiative,1400.0,9253.0,successful,88,US,USD,2020-05-11,2021-03-09,cat2,subcat18
747,2812,Davis-Michael,Progressive tertiary framework,3900.0,4776.0,successful,85,GB,GBP,2021-06-29,2021-08-27,cat2,subcat17
60,3961,"White, Torres and Bishop",Multi-layered dynamic protocol,9700.0,14606.0,successful,170,US,USD,2021-02-25,2021-03-31,cat8,subcat15
2459,3872,"Martin, Conway and Larsen",Horizontal next generation function,122900.0,95993.0,failed,1684,US,USD,2020-12-13,2021-12-26,cat4,subcat4
1903,4736,Acevedo-Huffman,Pre-emptive impactful model,9500.0,4460.0,failed,56,US,USD,2021-06-17,2021-08-27,cat5,subcat11
2003,5119,"Montgomery, Larson and Spencer",User-centric bifurcated knowledge user,4500.0,13536.0,successful,330,US,USD,2020-12-24,2021-04-16,cat6,subcat19
2885,5725,Soto LLC,Triple-buffered reciprocal project,57800.0,40228.0,failed,838,US,USD,2021-06-13,2021-11-18,cat4,subcat4
2067,4037,"Sutton, Barrett and Tucker",Cross-platform needs-based approach,1100.0,7012.0,successful,127,US,USD,2021-06-26,2021-10-21,cat7,subcat12
1610,2109,"Gomez, Bailey and Flores",User-friendly static contingency,16800.0,37857.0,successful,411,US,USD,2020-11-01,2021-03-04,cat2,subcat2
2909,3283,Porter-George,Reactive content-based framework,1000.0,14973.0,successful,180,GB,GBP,2020-10-09,2021-11-11,cat7,subcat12
1239,6181,Fitzgerald PLC,Realigned user-facing concept,106400.0,39996.0,failed,1000,US,USD,2021-06-25,2021-08-08,cat2,subcat6
2480,3251,Cisneros-Burton,Public-key zero tolerance orchestration,31400.0,41564.0,successful,374,US,USD,2021-07-03,2021-10-05,cat3,subcat9
2181,3443,"Hill, Lawson and Wilkinson",Multi-tiered eco-centric architecture,4900.0,6430.0,successful,71,AU,AUD,2021-05-29,2021-08-20,cat2,subcat8
2030,2988,Davis-Smith,Organic motivating firmware,7400.0,12405.0,successful,203,US,USD,2021-05-16,2021-09-12,cat4,subcat4
2311,1673,Farrell and Sons,Synergized 4thgeneration conglomeration,198500.0,123040.0,failed,1482,AU,AUD,2020-08-23,2021-03-24,cat2,subcat2
2821,2085,Clark Group,Grass-roots fault-tolerant policy,4800.0,12516.0,successful,113,US,USD,2020-07-21,2021-02-22,cat6,subcat19
2468,1672,"White, Singleton and Zimmerman",Monitored scalable knowledgebase,3400.0,8588.0,successful,96,US,USD,2020-07-23,2021-01-18,cat4,subcat4
656,4426,Kramer Group,Synergistic explicit parallelism,7800.0,6132.0,failed,106,US,USD,2021-10-09,2021-11-15,cat4,subcat4
2791,3211,"Frazier, Patrick and Smith",Enhanced systemic analyzer,154300.0,74688.0,failed,679,IT,EUR,2020-07-03,2021-06-17,cat6,subcat19
1527,3190,"Santos, Bell and Lloyd",Object-based analyzing knowledge user,20000.0,51775.0,successful,498,CH,CHF,2020-08-05,2021-05-15,cat7,subcat12
1891,2081,Hall and Sons,Pre-emptive radical architecture,108800.0,65877.0,canceled,610,US,USD,2020-11-22,2021-12-05,cat4,subcat4
580,3185,Hanson Inc,Grass-roots web-enabled contingency,2900.0,8807.0,successful,180,GB,GBP,2021-03-14,2021-08-29,cat3,subcat3
682,5044,Sanchez LLC,Stand-alone system-worthy standardization,900.0,1017.0,successful,27,US,USD,2021-08-06,2021-09-05,cat5,subcat5
3097,1883,Howard Ltd,Down-sized systematic policy,69700.0,151513.0,successful,2331,US,USD,2021-10-18,2021-12-26,cat4,subcat4
873,2067,Stewart LLC,Cloned bi-directional architecture,1300.0,12047.0,successful,113,US,USD,2020-11-29,2021-06-11,cat1,subcat1
1668,4604,"Arias, Allen and Miller",Seamless transitional portal,97800.0,32951.0,failed,1220,AU,AUD,2021-02-14,2021-11-03,cat7,subcat12
3076,3203,Baker-Morris,Fully-configurable motivating approach,7600.0,14951.0,successful,164,US,USD,2020-08-23,2021-02-06,cat4,subcat4
3146,5758,"Tucker, Fox and Green",Upgradable fault-tolerant approach,100.0,1.0,failed,1,US,USD,2021-06-22,2021-10-23,cat4,subcat4
253,5755,Douglas LLC,Reduced heuristic moratorium,900.0,9193.0,successful,164,US,USD,2021-10-06,2022-01-27,cat2,subcat6
3088,5150,Garcia Inc,Front-line web-enabled model,3700.0,10422.0,successful,336,US,USD,2020-09-18,2021-08-18,cat3,subcat9
393,4181,"Frye, Hunt and Powell",Polarized incremental emulation,10000.0,2461.0,failed,37,IT,EUR,2021-05-10,2021-08-03,cat2,subcat6
2912,3006,"Smith, Wells and Nguyen",Self-enabling grid-enabled initiative,119200.0,170623.0,successful,1917,US,USD,2021-07-09,2021-10-15,cat2,subcat8
478,4865,Charles-Johnson,Total fresh-thinking system engine,6800.0,9829.0,successful,95,US,USD,2020-10-08,2021-07-23,cat3,subcat3
1061,2862,"Brandt, Carter and Wood",Ameliorated clear-thinking circuit,3900.0,14006.0,successful,147,US,USD,2021-03-05,2021-05-19,cat4,subcat4
2957,6070,"Tucker, Schmidt and Reid",Multi-layered encompassing installation,3500.0,6527.0,successful,86,US,USD,2021-05-07,2021-12-28,cat4,subcat4
2015,5300,Decker Inc,Universal encompassing implementation,1500.0,8929.0,successful,83,US,USD,2020-10-14,2021-07-23,cat5,subcat5
1179,3486,Romero and Sons,Object-based client-server application,5200.0,3079.0,failed,60,US,USD,2020-10-01,2021-06-12,cat5,subcat20
2568,5989,Castillo-Carey,Cross-platform solution-oriented process improvement,142400.0,21307.0,failed,296,US,USD,2020-05-05,2021-05-30,cat1,subcat1
2869,2849,Hart-Briggs,Re-engineered user-facing approach,61400.0,73653.0,successful,676,US,USD,2021-03-17,2021-10-27,cat6,subcat16
718,1612,Jones-Meyer,Re-engineered client-driven hub,4700.0,12635.0,successful,361,AU,AUD,2020-10-24,2021-04-12,cat3,subcat3
1211,3307,"Wright, Hartman and Yu",User-friendly tertiary array,3300.0,12437.0,successful,131,US,USD,2021-01-29,2021-02-13,cat1,subcat1
2431,5288,Harper-Davis,Robust heuristic encoding,1900.0,13816.0,successful,126,US,USD,2021-07-02,2021-12-31,cat3,subcat9
468,6026,Barrett PLC,Team-oriented clear-thinking capacity,166700.0,145382.0,failed,3304,IT,EUR,2021-03-20,2021-04-16,cat6,subcat14
1862,2212,David-Clark,De-engineered motivating standardization,7200.0,6336.0,failed,73,US,USD,2021-09-02,2021-12-31,cat4,subcat4
2300,4591,Chaney-Dennis,Business-focused 24hour groupware,4900.0,8523.0,successful,275,US,USD,2021-06-18,2021-12-31,cat5,subcat20
449,2771,"Robinson, Lopez and Christensen",Organic next generation protocol,5400.0,6351.0,successful,67,US,USD,2020-10-07,2021-10-17,cat8,subcat15
283,5682,Clark and Sons,Reverse-engineered full-range Internet solution,5000.0,10748.0,successful,154,US,USD,2021-07-27,2021-11-01,cat5,subcat5
2484,5368,Vega Group,Synchronized regional synergy,75100.0,112272.0,successful,1782,US,USD,2021-04-15,2021-10-08,cat7,subcat21
1490,3706,Brown-Brown,Multi-lateral homogeneous success,45300.0,99361.0,successful,903,US,USD,2020-06-21,2021-04-14,cat7,subcat12
186,4034,Taylor PLC,Seamless zero-defect solution,136800.0,88055.0,failed,3387,US,USD,2020-05-21,2021-01-28,cat6,subcat14
2999,3209,Edwards-Lewis,Enhanced scalable concept,177700.0,33092.0,failed,662,CA,CAD,2022-01-15,2022-02-03,cat4,subcat4
2819,2384,"Stanton, Neal and Rodriguez",Polarized uniform software,2600.0,9562.0,successful,94,IT,EUR,2020-07-19,2021-02-28,cat8,subcat15
2105,3074,Pratt LLC,Stand-alone web-enabled moderator,5300.0,8475.0,successful,180,US,USD,2020-05-10,2021-05-02,cat4,subcat4
1324,2031,Gross PLC,Proactive methodical benchmark,180200.0,69617.0,failed,774,US,USD,2020-03-24,2021-03-11,cat4,subcat4
1952,5873,"Martinez, Gomez and Dalton",Team-oriented 6thgeneration matrix,103200.0,53067.0,failed,672,CA,CAD,2021-03-03,2021-06-16,cat4,subcat4
2404,5501,Allen-Curtis,Phased human-resource core,70600.0,42596.0,canceled,532,US,USD,2020-09-13,2021-09-17,cat2,subcat2
990,3489,Morgan-Martinez,Mandatory tertiary implementation,148500.0,4756.0,canceled,55,AU,AUD,2021-03-23,2021-12-06,cat1,subcat1
1459,4210,"Luna, Anderson and Fox",Secured directional encryption,9600.0,14925.0,successful,533,DK,DKK,2020-10-10,2021-07-13,cat5,subcat7
1106,6151,"Fleming, Zhang and Henderson",Distributed 5thgeneration implementation,164700.0,166116.0,successful,2443,GB,GBP,2021-07-17,2022-01-18,cat3,subcat3
1488,6047,Flowers and Sons,Virtual static core,3300.0,3834.0,successful,89,US,USD,2020-10-20,2021-11-02,cat4,subcat4
2107,5445,Gates PLC,Secured content-based product,4500.0,13985.0,successful,159,US,USD,2020-07-09,2021-05-18,cat2,subcat22
2660,5493,Caldwell LLC,Secured executive concept,99500.0,89288.0,failed,940,CH,CHF,2021-07-23,2021-07-28,cat5,subcat5
2647,6036,"Le, Burton and Evans",Balanced zero-defect software,7700.0,5488.0,failed,117,US,USD,2020-12-25,2021-12-02,cat4,subcat4
565,2368,Briggs PLC,Distributed context-sensitive flexibility,82800.0,2721.0,canceled,58,US,USD,2021-03-23,2021-04-14,cat5,subcat7
2713,1501,Hudson-Nguyen,Down-sized disintermediate support,1800.0,4712.0,successful,50,US,USD,2020-04-07,2021-02-14,cat6,subcat10
558,4351,Hogan Ltd,Stand-alone mission-critical moratorium,9600.0,9216.0,failed,115,US,USD,2021-05-10,2021-12-17,cat7,subcat21
698,3096,"Hamilton, Wright and Chavez",Down-sized empowering protocol,92100.0,19246.0,failed,326,US,USD,2021-01-14,2021-07-07,cat3,subcat9
321,6162,Bautista-Cross,Fully-configurable coherent Internet solution,5500.0,12274.0,successful,186,US,USD,2020-10-18,2021-05-05,cat5,subcat5
1302,1433,Jackson LLC,Distributed motivating algorithm,64300.0,65323.0,successful,1071,US,USD,2020-05-07,2021-03-21,cat3,subcat3
1410,2720,Figueroa Ltd,Expanded solution-oriented benchmark,5000.0,11502.0,successful,117,US,USD,2021-05-26,2021-11-24,cat3,subcat3
2465,5251,Avila-Jones,Implemented discrete secured line,5400.0,7322.0,successful,70,US,USD,2020-12-03,2021-11-25,cat2,subcat8
377,1797,"Martin, Lopez and Hunter",Multi-lateral actuating installation,9000.0,11619.0,successful,135,US,USD,2021-02-07,2021-04-20,cat4,subcat4
1882,1656,Fields-Moore,Secured reciprocal array,25000.0,59128.0,successful,768,CH,CHF,2021-01-28,2021-11-21,cat3,subcat9
822,1346,Harris-Golden,Optional bandwidth-monitored middleware,8800.0,1518.0,canceled,51,US,USD,2020-09-15,2021-02-01,cat4,subcat4
2730,2989,"Moss, Norman and Dunlap",Upgradable upward-trending workforce,8300.0,9337.0,successful,199,US,USD,2021-08-21,2021-11-15,cat4,subcat4
2198,5629,"White, Larson and Wright",Upgradable hybrid capability,9300.0,11255.0,successful,107,US,USD,2020-04-19,2021-02-15,cat3,subcat9
2757,3456,"Payne, Oliver and Burch",Managed fresh-thinking flexibility,6200.0,13632.0,successful,195,US,USD,2020-09-08,2021-04-16,cat2,subcat8
2588,3229,"Brown, Palmer and Pace",Networked stable workforce,100.0,1.0,failed,1,US,USD,2021-01-21,2021-07-11,cat2,subcat2
1090,2277,Parker LLC,Customizable intermediate extranet,137200.0,88037.0,failed,1467,US,USD,2021-12-02,2022-01-12,cat2,subcat6
64,1276,"Bowen, Mcdonald and Hall",User-centric fault-tolerant task-force,41500.0,175573.0,successful,3376,US,USD,2020-11-13,2021-07-23,cat2,subcat8
2171,3694,"Whitehead, Bell and Hughes",Multi-tiered radical definition,189400.0,176112.0,failed,5681,US,USD,2021-07-17,2021-11-12,cat4,subcat4
625,2260,Rodriguez-Brown,Devolved foreground benchmark,171300.0,100650.0,failed,1059,US,USD,2021-01-29,2021-06-20,cat2,subcat8
1065,5374,Hall-Schaefer,Distributed eco-centric methodology,139500.0,90706.0,failed,1194,US,USD,2021-05-23,2021-07-29,cat4,subcat4
174,4420,Meza-Rogers,Streamlined encompassing encryption,36400.0,26914.0,canceled,379,AU,AUD,2020-11-24,2021-12-26,cat2,subcat2
1344,3849,Curtis-Curtis,User-friendly reciprocal initiative,4200.0,2212.0,failed,30,AU,AUD,2021-04-20,2021-10-14,cat8,subcat15
2824,1638,Carlson Inc,Ergonomic fresh-thinking installation,2100.0,4640.0,successful,41,US,USD,2020-12-28,2021-11-24,cat2,subcat2
940,5230,"Clarke, Anderson and Lee",Robust explicit hardware,191200.0,191222.0,successful,1821,US,USD,2021-05-22,2021-06-30,cat4,subcat4
3024,1763,Evans Group,Stand-alone actuating support,8000.0,12985.0,successful,164,US,USD,2021-04-26,2021-07-14,cat3,subcat9
2164,4323,Bruce Group,Cross-platform methodical process improvement,5500.0,4300.0,failed,75,US,USD,2021-02-01,2021-09-05,cat3,subcat3
2427,5256,"Keith, Alvarez and Potter",Extended bottom-line open architecture,6100.0,9134.0,successful,157,CH,CHF,2021-09-05,2021-12-16,cat2,subcat2
1548,4836,Burton-Watkins,Extended reciprocal circuit,3500.0,8864.0,successful,246,US,USD,2020-08-01,2021-08-15,cat8,subcat15
2657,5981,Lopez and Sons,Polarized human-resource protocol,150500.0,150755.0,successful,1396,US,USD,2021-11-14,2021-11-24,cat4,subcat4
2916,1463,Cordova Ltd,Synergized radical product,90400.0,110279.0,successful,2506,US,USD,2021-05-05,2021-08-08,cat3,subcat3
1348,4577,Brown-Vang,Robust heuristic artificial intelligence,9800.0,13439.0,successful,244,US,USD,2021-01-11,2021-08-25,cat8,subcat15
557,4951,Cruz-Ward,Robust content-based emulation,2600.0,10804.0,successful,146,AU,AUD,2021-04-01,2021-10-19,cat4,subcat4
2915,3567,Hernandez Group,Ergonomic uniform open system,128100.0,40107.0,failed,955,DK,DKK,2020-05-16,2021-03-18,cat2,subcat8
320,5475,"Tran, Steele and Wilson",Profit-focused modular product,23300.0,98811.0,successful,1267,US,USD,2020-07-10,2021-03-23,cat5,subcat13
1458,2114,"Summers, Gallegos and Stein",Mandatory mobile product,188100.0,5528.0,failed,67,US,USD,2020-09-24,2021-07-27,cat2,subcat8
379,5216,Blair Group,Public-key 3rdgeneration budgetary management,4900.0,521.0,failed,5,US,USD,2020-11-17,2021-11-23,cat6,subcat19
1879,1665,Nixon Inc,Centralized national firmware,800.0,663.0,failed,26,US,USD,2020-09-04,2021-04-16,cat5,subcat5
597,6051,White LLC,Cross-group 4thgeneration middleware,96700.0,157635.0,successful,1561,US,USD,2021-03-21,2021-10-17,cat4,subcat4
1130,3983,"Santos, Black and Donovan",Pre-emptive scalable access,600.0,5368.0,successful,48,US,USD,2020-04-15,2021-02-08,cat3,subcat9
2354,2966,"Jones, Contreras and Burnett",Sharable intangible migration,181200.0,47459.0,failed,1130,US,USD,2021-01-27,2021-12-16,cat4,subcat4
1358,4478,Stone-Orozco,Proactive scalable Graphical User Interface,115000.0,86060.0,failed,782,US,USD,2021-01-06,2021-05-06,cat4,subcat4
188,4238,"Lee, Gibson and Morgan",Digitized solution-oriented product,38800.0,161593.0,successful,2739,US,USD,2021-05-02,2021-08-26,cat4,subcat4
2228,4404,Alexander-Williams,Triple-buffered cohesive structure,7200.0,6927.0,failed,210,US,USD,2021-04-17,2021-07-08,cat1,subcat1
1743,5666,Marks Ltd,Realigned human-resource orchestration,44500.0,159185.0,successful,3537,CA,CAD,2020-09-14,2021-04-11,cat4,subcat4
2563,3691,"Olsen, Edwards and Reid",Optional clear-thinking software,56000.0,172736.0,successful,2107,AU,AUD,2020-10-09,2021-06-06,cat3,subcat9
2424,2703,"Daniels, Rose and Tyler",Centralized global approach,8600.0,5315.0,failed,136,US,USD,2021-03-17,2021-04-15,cat3,subcat3
2369,4253,Adams Group,Reverse-engineered bandwidth-monitored contingency,27100.0,195750.0,successful,3318,DK,DKK,2021-03-09,2021-08-28,cat4,subcat4
1134,5652,"Rogers, Huerta and Medina",Pre-emptive bandwidth-monitored instruction set,5100.0,3525.0,failed,86,CA,CAD,2020-04-16,2021-03-02,cat2,subcat2
2241,3279,"Howard, Carter and Griffith",Adaptive asynchronous emulation,3600.0,10550.0,successful,340,US,USD,2021-07-13,2021-09-11,cat4,subcat4
2745,3233,Bailey PLC,Innovative actuating conglomeration,1000.0,718.0,failed,19,US,USD,2020-04-28,2021-03-22,cat5,subcat20
1055,3017,Parker Group,Grass-roots foreground policy,88800.0,28358.0,failed,886,US,USD,2021-02-10,2021-08-16,cat4,subcat4
1215,3482,Fox Group,Horizontal transitional paradigm,60200.0,138384.0,successful,1442,CA,CAD,2020-06-12,2021-02-20,cat5,subcat13
2036,2166,"Walker, Jones and Rodriguez",Networked didactic info-mediaries,8200.0,2625.0,failed,35,IT,EUR,2021-06-18,2021-10-07,cat4,subcat4
1191,4146,Anthony-Shaw,Switchable contextually-based access,191300.0,45004.0,canceled,441,US,USD,2021-01-30,2021-05-23,cat4,subcat4
